"DOI","title","code","short","dldate","country","institution","IP"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2023-04-29",GB,The Open University,"194.61.223.68"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2024-02-23",GB,"","143.234.104.86"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2024-03-22",GB,"","46.65.95.165"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2024-04-30",GB,The Open University,"2.24.141.116"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2024-05-03",GB,"Rothamsted Research, Academic","149.155.6.182"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2025-03-31",MX,Academic,"189.217.212.136"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2025-08-08",GB,Personal,"82.17.130.244"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2025-12-14",CN,NWSF,"111.18.152.46"
"10.23637/rms-RMAAtempanomaly-1",Annual Mean Air Temperature Anomaly at Rothamsted 1878-2019 ,RMS,RMAAtempanom,"2026-01-04",TR,"","104.28.212.150"
"10.23637/KeyRefOARESmatemp",Annual Mean Air Temperature at Rothamsted 1878-2013,RMS,RMAAtemp,"2024-08-18",GB,University of Hertfordshire,"81.174.133.116"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2021-09-06",,,"149.155.21.51"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2021-10-12",,,"50.101.200.112"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2021-11-11",,,"45.32.149.161"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2022-01-03",,,"156.18.64.40"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2022-09-29",,,"46.30.132.204"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2022-11-27",,,"82.44.105.236"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2022-12-16",,,"151.47.120.18"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-01-12",,,"149.155.21.92"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-01-15",,,"82.9.69.21"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-01-25",,,"165.120.224.44"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-02-06",,,"185.251.11.188"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-02-10",,,"185.69.144.83"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-04-23",IL,Rivulis (Industry),"213.137.72.2"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-05-30",GB,University of Hertfordshire,"147.197.44.188"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-08-07",GB,University of Aberdeen,"139.133.0.1"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2023-09-11",US,Microsoft,"49.36.19.240"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2024-03-20",GB,"","86.171.210.15"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2024-04-22",GB,lancaster university,"46.65.95.165"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2024-05-03",GB,"Rothamsted Research, Academic","149.155.6.182"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2024-10-28",GB,"","137.220.87.235"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2024-10-29",IT,Horta Srl Other,"5.89.48.143"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2025-02-13",GB,"","90.248.24.70"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2025-02-17",GB,"","90.248.26.117"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2025-03-20",GB,"","194.82.215.34"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2025-05-06",AU,CSIRO,"144.110.10.19"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2025-12-14",CN,NWSF,"111.18.152.46"
"10.23637/rmsMMRain10850917",Mean monthly rainfall at Rothamsted October 1985-September 2017,RMS,rmsMMR10850917,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2021-08-10",,,"141.20.217.164"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-05-05",,,"182.200.184.220"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-05-29",,,"89.241.203.240"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-06-15",,,"172.27.63.134"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-07-12",,,"162.23.30.6"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-07-18",,,"217.42.119.246"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2022-10-21",,,"129.11.87.100"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-04-05",IE,Teagasc,"137.191.243.67"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-04-23",IL,Rivulis (Industry),"213.137.72.2"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-06-06",IE,"","109.76.178.209"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-08-03",GB,Open University - University,"86.145.119.216"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-10-26",FR,"Ecole Centrale de Lyon, french school of engineering","156.18.112.120"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2023-10-28",FR,Ecole Centrale de Lyon,"90.119.95.236"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2024-07-10",IE,"","89.101.244.214"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2024-09-30",FR,Ecole Centrale de Lyon,"156.18.66.241"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2025-05-06",AU,CSIRO,"144.110.10.19"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2025-11-06",NL,NMI-agro ,"46.102.226.203"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2025-12-14",CN,NWSF,"111.18.152.46"
"10.23637/OARES30YrMeans6190",Rothamsted 30-year mean meteorological data 1961-1990,RMS,R30YrMeans6190,"2026-01-04",TR,"","104.28.212.150"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-08-10",,,"92.195.90.153"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-08-11",,,"109.157.181.224"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-09-11",,,"86.179.89.40"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-10-06",,,"99.234.200.18"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-11-02",,,"149.155.29.190"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-11-02",,,"149.155.29.190"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-11-09",,,"94.189.43.229"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-11-11",,,"45.32.149.161"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2021-11-16",,,"131.111.5.182"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-05-29",,,"89.241.203.240"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-05-29",,,"89.241.203.240"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-06-13",,,"10.30.0.105"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-08-10",,,"103.251.186.2"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-09-29",,,"46.30.132.204"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-09-30",,,"46.30.132.204"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2022-12-16",,,"151.47.120.18"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-01-18",,,"31.51.61.83"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-01-25",,,"165.120.224.44"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-02-07",,,"88.111.73.193"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-02-14",,,"140.253.155.253"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-04-23",IL,Rivulis (Industry),"213.137.72.2"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-04-23",IL,Rivulis (Industry),"213.137.72.2"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-08-07",GB,University of Aberdeen,"139.133.0.1"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2023-08-15",GB,Rothamsted Research,"149.155.20.141"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-02-23",GB,"","143.234.104.86"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-03-11",GB,"","192.16.204.74"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-03-11",GB,"","192.16.204.74"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-03-11",GB,"","192.16.204.74"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-03-25",GB,rothamsted,"10.30.0.29"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-05-03",GB,"Rothamsted Research, Academic","149.155.6.182"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-10-29",IT,Horta Srl Other,"5.89.48.143"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2024-11-07",FR,Nestle,"176.163.171.114"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2025-06-27",GB,"","90.51.127.217"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2025-12-14",CN,NWSF,"111.18.152.46"
"10.23637/rmsmmtemp10850917",Mean monthly temperature at Rothamsted October 1985-September 2017,RMS,rmsMMT10850917,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-06-25",,, 84.65.231.38
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-07-22",,,"137.191.243.67"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-07-28",,,"81.103.143.76"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-08-10",,,"92.195.90.153"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-08-30",,,"115.55.163.248"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-09-06",,,"149.155.21.51"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-09-20",,,"2.100.13.184"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2021-09-26",,,"82.39.108.250"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-01-02",,,"90.247.107.157"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-02-14",,,"81.151.14.123"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-02-23",,,"149.155.19.57"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-03-12",,,"5.151.132.196"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-03-14",,,"130.225.198.147"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-04-28",,,"5.61.79.38"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-07-11",,,"124.17.34.72"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-07-12",,,"162.23.30.6"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-07-14",,,"109.175.214.125"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-07-14",,,"109.175.214.125"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-10-03",,,"143.167.94.8"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-10-03",,,"143.167.94.8"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-10-17",,,"182.72.52.76"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-11-04",,,"147.188.245.227"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2022-11-12",,,"82.8.159.27"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-01-09",,,"185.120.2.127"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-01-09",,,"185.120.2.127"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-02-08",,,"149.155.20.94"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-04-05",IE,Teagasc,"137.191.243.67"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-04-23",IL,Rivulis (Industry),"213.137.72.2"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-04-29",GB,The Open University,"194.61.223.68"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-05-02",GB,Rothamsted Research,"149.155.19.17"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-06-04",IE,"","109.76.178.209"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-06-06",IE,"","109.76.178.209"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-06-14",GB,"National Oceanography Center, Non-profit","139.166.155.62"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-06-19",IE,Maynooth University,"149.157.230.224"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-08-03",GB,Open University - University,"86.145.119.216"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-09-11",US,Microsoft,"49.36.19.240"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2023-10-17",GB,Rothamsted Research,"149.155.11.41"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-02-23",GB,"","143.234.104.86"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-03-25",GB,rothamsted,"10.30.0.29"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-04-10",GB,lancaster university,"46.65.95.165"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-05-24",GB,"MetDesk, Industry","188.39.233.2"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-07-10",IE,"","89.101.244.214"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-10-29",ET,"Imperial College London, Academic","146.179.86.183"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2024-11-07",FR,Nestle,"176.163.171.114"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-02-13",GB,National Oceanography Centtre,"139.166.154.243"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-08-10",AU,Curtin University ,"220.245.74.172"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-08-28",GB,FA Bio,"149.155.4.20"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-09-13",GB,"","194.80.134.138"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-09-24",US,University of Florida - Academic,"128.227.1.59"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-10-07",US,"University of Florida, Academic","128.227.1.54"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-12-03",GB,University College London,"31.205.105.248"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2025-12-14",CN,NWSF,"111.18.152.46"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans9120",Rothamsted 30-year mean meteorological data 1991-2020,RMS,R30YrMeans9120,"2026-01-04",TR,"","104.28.212.150"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2021-12-22",,,"86.152.42.18"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2022-03-22",,,"194.82.100.165"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2022-04-19",,,"86.138.23.32"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2022-04-21",,,"106.73.70.129"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2022-04-26",,,"79.167.248.193"
"10.23637/OARES30YrMeans7100",Rothamsted 30-year mean meteorological data 1971-2000,RMS,R30YrMeans7100,"2022-05-13",,,"39.57.136.178"
